p      nu1                 nu0.5                  nu0.1         nu0.01       nu0.001
182    8.669e-22           6.5751255648e-20       6.109e-18     2.33e-17     3.865e-17
183    5.583e-22           8.44253555773e-20      5.847e-18     2.039e-17    2.875e-17
184    4.789e-22           4.95787114499e-20      5.507e-18     2.34e-17     3.739e-17
185    4.073e-22           6.25702938284e-20      5.478e-18     2.015e-17    2.665e-17
186    2.487e-22           3.78170206265e-20      4.893e-18     2.313e-17    3.53e-17
187    3.007e-22           4.52877572587e-20      5.117e-18     2.005e-17    2.475e-17
188    1.385e-22           2.90956030639e-20      4.274e-18     2.236e-17    3.264e-17
189    2.188e-22           3.3770104103e-20       4.763e-18     1.969e-17    2.328e-17
190    8.693e-23           2.29024711216e-20      3.661e-18     2.127e-17    2.964e-17
191    1.554e-22           2.54138625471e-20      4.405e-18     1.923e-17    2.188e-17
192    5.721e-23           1.88968990885e-20      3.148e-18     1.999e-17    2.623e-17
193    1.085e-22           2.00017781267e-20      4.139e-18     1.879e-17    2.072e-17
194    3.891e-23           1.55302675331e-20      2.942e-18     1.867e-17    2.284e-17
195    7.463e-23           1.65146189244e-20      4.041e-18     1.819e-17    2.003e-17
196    2.644e-23           1.26501280377e-20      2.896e-18     1.726e-17    1.966e-17
197    5.054e-23           1.51047735808e-20      3.976e-18     1.744e-17    1.95e-17
198    1.833e-23           1.03050928116e-20      2.823e-18     1.606e-17    1.703e-17
199    3.377e-23           1.39956245458e-20      3.896e-18     1.688e-17    1.913e-17
200    1.229e-23           8.15328180663e-21      2.706e-18     1.53e-17     1.542e-17
