t          l2           inf  
45.4000     22.5302     25.7212
45.5000     24.0879     27.1021
45.6000     25.5376     29.6476
45.7000     26.8486     36.7177
45.8000     27.9900     43.3418
45.9000     28.9209     49.5892
46.0000     29.6049     57.6418
46.1000     30.0481     64.0814
46.2000     30.3336     62.1373
46.3000     30.6085     56.7349
46.4000     31.0416     52.0246
46.5000     31.7863     48.9694
46.6000     32.9861     46.9365
46.7000     34.7705     52.0996
46.8000     37.2333     58.6447
46.9000     40.3964     70.1562
47.0000     44.2107     77.0848
47.1000     48.5773     82.0185
47.2000     53.3520     82.2928
47.3000     58.3272     90.4458
47.4000     63.2546     97.4713
47.5000     67.9477     80.3523
47.6000     72.3674     76.5010
47.7000     76.5499     82.4504
47.8000     80.4531    108.6111
47.9000     83.9517     94.8132
48.0000     86.9624     99.1434
48.1000     89.4891     88.7061
48.2000     91.5638     97.5522
48.3000     93.2099     93.2620
48.4000     94.4529    112.8862
48.5000     95.3374    106.2050
48.6000     95.9343    109.4269
48.7000     96.3139    111.9826
48.8000     96.5594    112.0209
48.9000     96.7679    107.7305
49.0000     97.0816    109.4482
49.1000     97.6256    110.7368
49.2000     98.4688    110.5140
49.3000     99.5817    108.6136
49.4000    100.8864    108.9902
49.5000    102.2840    105.5908
49.6000    103.6652    107.5762
49.7000    104.9275    104.5201
49.8000    106.0048    107.1801
49.9000    106.8826    111.8003
50.0000    107.5845    109.8322
50.1000    108.1499    112.7777
50.2000    108.6153    112.7711
50.3000    109.0001    105.6903
50.4000    109.3086    107.7021
50.5000    109.5459    110.2181
50.6000    109.7255    103.3274
50.7000    109.8640    112.2041
50.8000    109.9720    103.8979
50.9000    110.0509    115.9229
51.0000    110.1005    106.8103
51.1000    110.1140    109.7323
51.2000    110.0952    110.5089
51.3000    110.0407    109.7485
51.4000    109.9648    111.9342
51.5000    109.8721    110.7906
51.6000    109.7825    112.5287
51.7000    109.7071    112.4406
51.8000    109.6611    112.7281
51.9000    109.6503    108.1335
52.0000    109.6736    109.4097
52.1000    109.7264    110.2488
52.2000    109.8014    112.9146
52.3000    109.8931    106.3314
52.4000    109.9962    109.4330
52.5000    110.1057    112.8982
52.6000    110.2181    107.3449
52.7000    110.3297    110.7347
52.8000    110.4373    113.3563
52.9000    110.5375    106.2983
53.0000    110.6273    114.1591
53.1000    110.7054    110.0901
53.2000    110.7709    109.8047
53.3000    110.8234    111.9676
53.4000    110.8623    108.3027
53.5000    110.8843    113.6404
53.6000    110.8876    108.3901
53.7000    110.8654    110.9662
53.8000    110.8170    110.2344
53.9000    110.7373    110.2682
54.0000    110.6303    112.0771
54.1000    110.5002    109.9154
54.2000    110.3575    111.3108
54.3000    110.2173    111.8900
54.4000    110.0914    111.9099
54.5000    109.9935    109.1618
54.6000    109.9282    108.9591
54.7000    109.8984    115.0331
54.8000    109.9009    112.1358
54.9000    109.9305    106.6837
55.0000    109.9813    107.2941
55.1000    110.0463    114.6216
55.2000    110.1201    106.2452
55.3000    110.1974    107.6057
55.4000    110.2747    111.6553
55.5000    110.3500    114.5522
55.6000    110.4214    104.6730
55.7000    110.4886    112.4311
55.8000    110.5490    108.2776
55.9000    110.6000    109.8214
56.0000    110.6372    109.8468
56.1000    110.6547    109.6932
56.2000    110.6483    111.2319
56.3000    110.6130    109.0113
56.4000    110.5479    112.9227
56.5000    110.4559    109.0443
56.6000    110.3412    112.3414
56.7000    110.2181    109.6553
56.8000    110.0946    111.6544
56.9000    109.9885    113.5577
57.0000    109.9057    110.4023
57.1000    109.8565    106.8017
57.2000    109.8416    108.5771
57.3000    109.8613    114.3187
57.4000    109.9113    110.9765
57.5000    109.9857    104.6741
57.6000    110.0782    113.3852
57.7000    110.1815    110.1415
57.8000    110.2907    108.7656
57.9000    110.4003    112.8906
58.0000    110.5079    106.8445
58.1000    110.6113    107.9533
58.2000    110.7100    111.7745
58.3000    110.8039    114.3637
58.4000    110.8929    107.3912
58.5000    110.9762    112.2256
58.6000    111.0517    108.8292
58.7000    111.1172    111.4456
58.8000    111.1689    110.5295
58.9000    111.2050    110.1860
59.0000    111.2218    111.2979
59.1000    111.2200    111.2750
59.2000    111.1972    110.3359
59.3000    111.1575    112.3448
59.4000    111.1017    110.4275
59.5000    111.0368    112.7702
59.6000    110.9684    111.2722
59.7000    110.9041    112.3445
59.8000    110.8506    110.6671
59.9000    110.8129    112.3284
60.0000    110.7925    111.8962
60.1000    110.7899    109.7376
60.2000    110.8009    112.1868
60.3000    110.8222    111.1264
60.4000    110.8462    112.8006
60.5000    110.8664    108.7430
60.6000    110.8724    113.8865
60.7000    110.8548    108.4519
60.8000    110.7980    112.9855
60.9000    110.6908    110.8250
61.0000    110.5119    109.9846
61.1000    110.2580    108.9705
61.2000    109.9264    110.9136
61.3000    109.5604    108.3379
61.4000    109.2098    113.6157
61.5000    108.9356    110.5189
61.6000    108.7565    100.3124
61.7000    108.6684    108.5466
61.8000    108.6516    116.8288
61.9000    108.6920    110.8823
62.0000    108.7780     99.0097
62.1000    108.9041    111.9406
62.2000    109.0627    113.1317
