coordt3	phi3	phi2	phi1
16.2	0.000155681846081279	0.00154831749387085	0.01718545332551
16.3	5.61902415938675e-05	0.000561803462915123	0.00983533076941967
16.4	4.05533937737346e-05	0.000397524243453518	0.00260043051093817
16.5	0.000132550019770861	0.00130984303541481	0.00436877459287643
16.6	0.00021798386296723	0.00215714727528393	0.0109340157359838
16.7	0.000295254780212417	0.00292356708087027	0.0169719643890858
16.8	0.000363004335667938	0.0035956313367933	0.0223759245127439
16.9	0.000420136086177081	0.00416246289387345	0.0270575620234013
17	0.000465828517917544	0.00461591267958283	0.030947957187891
17.1	0.000499542511533946	0.00495062908157706	0.0339982472360134
17.2	0.000521021487656981	0.00516406306996942	0.0361797995865345
17.3	0.00053028593538329	0.0052564088255167	0.0374839454889297
17.4	0.000527621479704976	0.0052304957062006	0.0379212908446789
17.5	0.000513562583364546	0.00509161408990622	0.0375206582248211
17.6	0.000488870835397393	0.00484730582684278	0.0363276563584805
17.7	0.000454508990515023	0.00450710952281952	0.0344029553234577
17.8	0.000411612214520574	0.00408227741718292	0.031820360571146
17.9	0.000361456302925944	0.00358544802293181	0.0286646392196417
18	0.000305424444377422	0.00303032668307424	0.0250293221324682
18.1	0.000244972674408928	0.00243134261108935	0.0210138168185949
18.2	0.000181595140020363	0.00180330476723611	0.0167215894907713
18.3	0.000116790164611302	0.00116106367204338	0.0122575471177697
18.4	5.20273461006582e-05	0.000519184919539839	0.00772570585832
18.5	1.12833349703578e-05	0.000108354804979172	0.00322698568925261
18.6	7.1819857112132e-05	0.000708450505044311	0.00114285806193948
18.7	0.000128373460029252	0.0012691190931946	0.005294946487993
18.8	0.000179870490683243	0.00177971576340497	0.0091491574421525
18.9	0.000225390322157182	0.00223111244849861	0.0126352161169052
19	0.000264179456280544	0.00261583644896746	0.0156939122825861
19.1	0.000295661215204746	0.00292816665023565	0.0182778742164373
19.2	0.000319441081956029	0.00316418893635273	0.0203520655632019
19.3	0.000335308373905718	0.00332180876284838	0.0218940172344446
19.4	0.000343233172316104	0.00340072438120842	0.0228937566280365
19.5	0.000343359919497743	0.00340236141346395	0.0233534816652536
19.6	0.000335997174261138	0.00332977226935327	0.0232869777828455
19.7	0.000321604660712183	0.00318750669248402	0.0227188114076853
19.8	0.000300776708172634	0.00298145040869713	0.0216833334416151
19.9	0.000274224410532042	0.00271864468231797	0.0202235039323568
20	0.00024275500618387	0.00240708561614156	0.0183895919471979
20.1	0.000207250894163735	0.00205551274120808	0.0162378121167421
20.2	0.000168647049576975	0.00167318701278418	0.0138286808505654
20.3	0.000127908715512604	0.00126967194955796	0.0112256873399019
20.4	8.6009138613008e-05	0.00085460941772908	0.00849375128746033
20.5	4.39079922216479e-05	0.000437507900642231	0.00569774210453033
20.6	2.53101461566985e-06	2.75406273431145e-05	0.00290108076296747
20.7	3.72488029825035e-05	0.000366642168955877	0.000164420751389116
20.8	7.46281366446055e-05	0.000737078778911382	0.00245553790591657
20.9	0.000108888067188673	0.00107664417009801	0.00490710604935884
21	0.000139406431117095	0.00137917068786919	0.00714450934901834
21.1	0.0001656673848629	0.00163954426534474	0.00912861619144678
21.2	0.000187268495210446	0.00185377453453839	0.0108275031670928
21.3	0.000203925083042122	0.00201903632842004	0.0122168213129044
21.4	0.000215471445699222	0.00213368376716971	0.0132800061255693
21.5	0.00022186002752278	0.0021972416434437	0.0140082845464349
21.6	0.000223157534492202	0.00221036560833454	0.0144005324691534
21.7	0.000219538967940025	0.00217478629201651	0.0144629580900073
21.8	0.000211279490031302	0.00209322478622198	0.0142086585983634
21.9	0.000198744572116993	0.00196929671801627	0.0136570194736123
22	0.00018237806216348	0.00180739699862897	0.0128330355510116
22.1	0.000162689786520787	0.00161257234867662	0.0117665072903037
22.2	0.000140241521876305	0.00139038451015949	0.0104912193492055
22.3	0.000115632770757657	0.00114677008241415	0.0090439710766077
22.4	8.94862532732077e-05	0.000887895526830107	0.00746368849650025
22.5	6.24332824372686e-05	0.000620013219304383	0.00579049484804273
22.6	3.50997506757267e-05	0.000349322188412771	0.00406477460637689
22.7	8.09265111456625e-06	8.18350890767761e-05	0.00232628965750337
22.8	1.80123661266407e-05	0.000176745757926255	0.000613342388533056
22.9	4.26823025918566e-05	0.000421139964601025	0.00103799300268292
23	6.5436732256785e-05	0.000646587403025478	0.0025945536326617
23.1	8.58561543282121e-05	0.000848931027576327	0.00402668071910739
23.2	0.000103588718047831	0.00102468393743038	0.00530871329829097
23.3	0.00011835520126624	0.00117107760161161	0.00641936622560024
23.4	0.000129952182760462	0.00128609465900809	0.00734200328588486
23.5	0.000138253439217806	0.00136848166584969	0.00806479807943106
23.6	0.00014320966147352	0.00141774711664766	0.00858077500015497
23.7	0.00014484632993117	0.00143414083868265	0.008887754753232
23.8	0.000143260404001921	0.00141861906740814	0.00898819137364626
23.9	0.000138615097966976	0.0013727955520153	0.00888891704380512
24	0.000131133827380836	0.00129888043738902	0.00860079657286406
24.1	0.000121092947665602	0.00119960715528578	0.00813832972198725
24.2	0.000108813525002915	0.00107815314549953	0.00751916225999594
